the_geom,cartodb_id,_user,plz,einwohner,promille
,709,101,832,70301,1.44
,710,106,833,127433,0.83
,711,80,834,83235,0.96
,712,53,835,64157,0.83
,713,100,836,102981,0.97
,714,46,837,54990,0.84
,715,87,840,188004,0.46
,716,56,841,127173,0.44
,717,101,843,96172,1.05
,718,84,844,119276,0.7
,719,97,845,126746,0.77
,720,126,850,194979,0.65
,721,45,851,69490,0.65
,722,120,852,173676,0.69
,723,137,853,131185,1.04
,724,84,854,110447,0.76
,725,180,855,142152,1.27
,580,1,680,0,
,726,111,856,110760,1
,727,85,857,104956,0.81
,728,404,861,267722,1.51
,729,91,863,140743,0.65
,730,86,864,136236,0.63
,731,76,865,105770,0.72
,732,89,866,159888,0.56
,733,25,867,61000,0.41
,734,129,868,132414,0.97
,735,131,869,112281,1.17
,738,168,874,148783,1.13
,739,78,875,78159,1
,740,82,876,139492,0.59
,741,87,877,141719,0.61
,742,129,880,121825,1.06
,743,118,881,80245,1.47
,744,197,882,180615,1.09
,745,100,883,101840,0.98
,746,116,884,186365,0.62
,747,20,885,34289,0.58
,748,231,886,105985,2.18
,749,18,887,9353,1.92
,750,159,890,116842,1.36
,751,83,891,123794,0.67
,752,110,892,163973,0.67
,753,33,893,84747,0.39
,754,32,894,67598,0.47
,755,81,895,159293,0.51
,756,8,896,25012,0.32
,762,737,904,486609,1.51
,763,183,905,228293,0.8
,764,30,906,25834,1.16
,765,167,907,115512,1.45
,767,265,910,189698,1.4
,768,97,911,131033,0.74
,769,127,912,127793,0.99
,770,92,913,130889,0.7
,771,65,914,80852,0.8
,772,97,915,145408,0.67
,773,27,916,49595,0.54
,774,65,917,115240,0.56
,775,6,918,9971,0.6
,778,65,922,141981,0.46
,779,76,923,126259,0.6
,780,15,924,56953,0.26
,781,17,925,47719,0.36
,782,56,926,101880,0.55
,783,6,927,38624,0.16
,785,310,930,203622,1.52
,786,109,931,171682,0.63
,788,37,933,82750,0.45
,789,39,934,110104,0.35
,790,99,940,132563,0.75
,791,66,941,102601,0.64
,792,45,942,75068,0.6
,793,41,943,127136,0.32
,794,62,944,142234,0.44
,795,57,945,113572,0.5
,798,41,950,44790,0.92
,799,58,951,106386,0.55
,800,11,952,26897,0.41
,801,37,953,63280,0.58
,802,208,954,135124,1.54
,803,6,955,28578,0.21
,804,31,956,87829,0.35
,805,6,957,14212,0.42
,806,172,960,70651,2.43
,807,128,961,182134,0.7
,808,64,962,97543,0.66
,809,22,963,66069,0.33
,810,95,964,98724,0.96
,811,22,965,47664,0.46
,813,274,970,124378,2.2
,814,12,971,11043,1.09
,815,139,972,169725,0.82
,816,61,973,85458,0.71
,817,99,974,167470,0.59
,818,34,975,70255,0.48
,819,71,976,99201,0.72
,820,70,977,125990,0.56
,821,35,978,91618,0.38
,822,79,979,113001,0.7
,826,57,985,125215,0.46
,827,57,986,133388,0.43
,828,31,987,54305,0.57
,829,378,990,200963,1.88
,830,18,991,33404,0.54
,831,34,993,56168,0.61
,832,254,994,104737,2.43
,833,19,995,38038,0.5
,834,14,996,52152,0.27
,835,57,997,131109,0.43
,836,145,998,215874,0.67
,837,39,999,109309,0.36
,2,4,1,0,
,3,1,6,0,
,4,2,7,0,
,5,1,9,0,
,42,5,50,0,
,43,1,51,0,
,44,4,52,0,
,45,3,54,0,
,46,1,55,0,
,47,1,56,0,
,48,2,60,0,
,58,10,70,0,
,59,14,71,0,
,60,2,72,0,
,75,1,87,0,
,76,4,88,0,
,77,5,89,0,
,78,3,90,0,
,85,1,99,0,
,86,6,100,0,
,96,13,110,0,
,97,13,111,0,
,98,6,112,0,
,99,4,113,0,
,100,2,114,0,
,101,1,115,0,
,102,1,116,0,
,103,1,117,0,
,104,2,118,0,
,105,1,119,0,
,113,2,129,0,
,116,1,132,0,
,121,1,138,0,
,124,1,142,0,
,125,1,143,0,
,132,3,150,0,
,139,1,160,0,
,140,3,161,0,
,143,1,164,0,
,154,1,176,0,
,155,1,177,0,
,156,1,179,0,
,168,2,195,0,
,169,1,199,0,
,176,1,207,0,
,177,4,208,0,
,178,1,209,0,
,187,1,218,0,
,198,2,230,0,
,199,1,231,0,
,200,1,232,0,
,201,1,233,0,
,202,1,234,0,
,217,2,250,0,
,218,1,252,0,
,235,1,270,0,
,236,1,271,0,
,244,10,280,0,
,248,1,284,0,
,249,3,285,0,
,252,1,289,0,
,253,9,290,0,
,254,7,291,0,
,260,2,297,0,
,261,1,299,0,
,262,4,300,0,
,264,2,302,0,
,265,1,303,0,
,269,1,307,0,
,276,2,314,0,
,290,1,329,0,
,293,1,332,0,
,296,2,335,0,
,300,6,340,0,
,307,2,347,0,
,308,2,348,0,
,309,1,349,0,
,318,1,358,0,
,319,1,359,0,
,332,1,379,0,
,333,1,380,0,
,342,40,390,0,
,349,4,400,0,
,350,1,401,0,
,352,3,403,0,
,358,1,409,0,
,365,1,416,0,
,368,2,420,0,
,378,1,430,0,
,379,5,432,0,
,380,1,434,0,
,384,3,444,0,
,389,5,450,0,
,405,1,467,0,
,432,1,499,0,
,433,2,500,0,
,437,2,505,0,
,455,1,528,0,
,456,1,529,0,
,457,1,530,0,
,467,1,540,0,
,473,2,549,0,
,476,1,553,0,
,481,2,559,0,
,516,1,600,0,
,517,2,601,0,
,521,2,606,0,
,522,1,607,0,
,527,1,616,0,
,528,1,617,0,
,529,1,621,0,
,530,3,624,0,
,531,1,625,0,
,532,1,629,0,
,543,1,641,0,
,551,1,650,0,
,561,4,660,0,
,584,2,684,0,
,589,1,689,0,
,16,1,020,0,
,18,1,022,0,
,19,2,024,0,
,27,1,033,0,
,28,4,034,0,
,29,3,035,0,
,30,6,037,0,
,31,2,039,0,
,32,3,040,0,
,590,1,690,0,
,593,1,693,0,
,596,2,696,0,
,597,1,698,0,
,598,5,700,0,
,606,1,709,0,
,647,1,755,0,
,648,1,757,0,
,649,2,760,0,
,658,2,770,0,
,659,2,771,0,
,660,1,775,0,
,673,1,788,0,
,683,1,800,0,
,684,1,802,0,
,692,1,811,0,
,736,1,871,0,
,737,1,873,0,
,757,1,897,0,
,758,2,899,0,
,759,8,900,0,
,760,1,901,0,
,761,1,902,0,
,766,1,908,0,
,776,1,920,0,
,777,2,921,0,
,784,1,928,0,
,787,1,932,0,
,796,1,946,0,
,797,2,947,0,
,812,3,967,0,
,823,2,981,0,
,824,1,982,0,
,825,1,983,0,
,838,Summe,,80322060,
,1,5,000,0,
,6,786,010,80308,9.79
,11,41,015,73132,0.56
,17,8,021,0,
,33,1069,041,184644,5.79
,34,1335,042,189754,7.04
,54,42,066,138244,0.3
,55,78,067,152368,0.51
